trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.5, 'e': 0.9802746403385942}",20,0,-176.8004478081853,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
116,False,"{'a': 0.5, 'e': 0.9799312561153283}",20,0,-145.66244552799085,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
117,False,"{'a': 0.5, 'e': 0.9795849390565373}",20,0,-99.44099545472989,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.9792356901987134}",30,0,-164.37273306778923,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.9788835105871233}",25,0,-231.70403574618845,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",0
120,False,"{'a': 0.5, 'e': 0.978528401275805}",25,1,-152.9473695589044,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 3}",1
121,False,"{'a': 0.5, 'e': 0.978170363327565}",20,10,-8.16999289379794,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.9778093978139748}",30,21,-46.75559270729437,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.9774455058153677}",25,0,-74.48545661801448,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9770786884208359}",25,0,-121.67564300085155,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.9767089467282268}",25,0,-90.27730304531443,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.9763362818441402}",25,0,-119.58411594797425,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
127,False,"{'a': 0.5, 'e': 0.9759606948839245}",20,0,-50.272405745068696,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.9755821869716734}",20,0,-140.53324117992773,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.9752007592402233}",20,0,-71.17758197515933,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.9748164128311487}",25,0,-111.07680971954122,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.97442914889476}",20,0,-149.82857093935593,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
132,False,"{'a': 0.5, 'e': 0.9740389685900986}",20,0,-77.58231119779586,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.9736458730849354}",25,0,-309.4073183395159,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 6}",0
134,False,"{'a': 0.5, 'e': 0.9732498635557655}",25,0,-40.474043206148295,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9728509411878054}",20,1,-64.62034484632312,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.9724491071749894}",25,0,-176.3991164376887,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
137,False,"{'a': 0.5, 'e': 0.9720443627199666}",30,0,-128.4981523723915,"{0: 20, 1: 0, 2: 7, 3: 2, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.9716367090340963}",20,0,-192.42961195029002,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",0
